EVENT TREE RESULTS
================================================================================
Case                                       SL  AFW   LL  Bat   AC  Outcome
-------------------------------------------------------------------------------------
ET01                                        Y    Y    Y    Y    Y  SUCCESS (max T=621K)
ET02                                        Y    Y    Y    Y    N  CD_SEVERE @ 81070s (T=1702K)
ET03                                        Y    Y    Y    N    Y  SUCCESS (max T=621K)
ET04                                        Y    Y    Y    N    N  CD_SEVERE @ 66061s (T=1701K)
ET05                                        Y    N    Y    Y    Y  SUCCESS (max T=963K)
ET06                                        N    Y    Y    Y    Y  SUCCESS (max T=621K)
ET07                                        N    Y    Y    Y    N  CD_SEVERE @ 76292s (T=1701K)
ET08                                        N    Y    Y    N    Y  SUCCESS (max T=621K)
ET09                                        N    Y    Y    N    N  CD_SEVERE @ 62600s (T=1701K)
ET10                                        N    Y    N    Y    Y  SUCCESS (max T=621K)
ET11                                        N    Y    N    Y    N  CD_SEVERE @ 76744s (T=1701K)
ET12                                        N    Y    N    N    Y  SUCCESS (max T=621K)
ET13                                        N    Y    N    N    N  CD_SEVERE @ 62712s (T=1701K)
ET14                                        N    N    N    Y    Y  CD @ 43950s (T=1478K)
ET15                                        N    N    N    Y    N  CD_SEVERE @ 44231s (T=1701K)
