time-0              cntrlvar-21         cntrlvar-22         cntrlvar-23         p-150030000          
0.0                 4.076632            3.81945             5.53737             15487900.0           
5.026088            4.076632            3.81945             5.53737             15487900.0           
10.00943            4.076632            3.81945             5.53737             15487890.0           
15.02713            4.076632            3.81945             5.53737             15487900.0           
20.01047            4.076632            3.81945             5.53737             15487900.0           
25.02817            4.076632            3.81945             5.53737             15487900.0           
30.01151            4.076632            3.81945             5.53737             15487900.0           
35.02922            4.076632            3.81945             5.53737             15487910.0           
40.01255            4.076632            3.81945             5.53737             15488040.0           
45.03026            4.076632            3.81945             5.53737             15488050.0           
50.0136             4.076632            3.81945             5.53737             15488050.0           
55.0313             4.076632            3.81945             5.53737             15488060.0           
60.01464            4.076632            3.81945             5.53737             15488060.0           
65.03234            4.076632            3.81945             5.53737             15488060.0           
70.01568            4.076632            3.81945             5.53737             15488060.0           
75.03339            4.076632            3.81945             5.53737             15488070.0           
80.01672            4.076632            3.81945             5.53737             15488080.0           
85.00006            4.076632            3.81945             5.53737             15488090.0           
90.01776            4.076632            3.81945             5.53737             15488100.0           
95.0011             4.076632            3.81945             5.53737             15488120.0           
100.0188            4.076632            3.81945             5.53737             15488130.0           
105.0021            4.076632            3.81945             5.53737             15488150.0           
110.0198            4.076632            3.81945             5.53737             15488160.0           
115.0032            4.076632            3.81945             5.53737             15488170.0           
120.0209            4.076632            3.81945             5.53737             15488180.0           
125.0042            4.076632            3.81945             5.53737             15488190.0           
130.0219            4.076632            3.81945             5.53737             15488190.0           
135.0053            4.076632            3.81945             5.53737             15488200.0           
140.023             4.076632            3.81945             5.53737             15488210.0           
145.0063            4.076632            3.81945             5.53737             15488220.0           
150.024             4.076632            3.81945             5.53737             15488230.0           
155.0074            4.076632            3.81945             5.53737             15488250.0           
160.0251            4.076632            3.81945             5.53737             15488260.0           
165.0084            4.076632            3.81945             5.53737             15488270.0           
170.0261            4.076632            3.81945             5.53737             15488280.0           
175.0094            4.076632            3.81945             5.53737             15488290.0           
180.0271            4.076632            3.81945             5.53737             15488300.0           
185.0105            4.076632            3.81945             5.53737             15488310.0           
190.0282            4.076632            3.81945             5.53737             15488320.0           
195.0115            4.076632            3.81945             5.53737             15488330.0           
200.0292            4.076632            3.81945             5.53737             15488340.0           
205.0126            4.076632            3.81945             5.53737             15488350.0           
210.0303            4.076632            3.81945             5.53737             15488360.0           
215.0136            4.076632            3.81945             5.53737             15488370.0           
220.0313            4.076632            3.81945             5.53737             15488380.0           
225.0146            4.076632            3.81945             5.53737             15488380.0           
230.0323            4.076632            3.81945             5.53737             15488390.0           
235.0157            4.076632            3.81945             5.53737             15488400.0           
240.0334            4.076632            3.81945             5.53737             15488400.0           
245.0167            4.076632            3.81945             5.53737             15488410.0           
250.0001            4.076632            3.81945             5.53737             15488410.0           
255.0178            4.076632            3.81945             5.53737             15488410.0           
260.0011            4.076632            3.81945             5.53737             15488400.0           
265.0188            4.076632            3.81945             5.53737             15488400.0           
270.0021            4.076632            3.81945             5.53737             15488400.0           
275.0199            4.076632            3.81945             5.53737             15488400.0           
280.0032            4.076632            3.81945             5.53737             15488400.0           
285.0209            4.076632            3.81945             5.53737             15488400.0           
290.0042            4.076632            3.81945             5.53737             15488400.0           
295.0219            4.076632            3.81945             5.53737             15488410.0           
300.0053            4.076632            3.81945             5.53737             15488400.0           
305.023             4.076632            3.81945             5.53737             15488400.0           
310.0063            4.076632            3.81945             5.53737             15488400.0           
315.024             4.076632            3.81945             5.53737             15488400.0           
320.0074            4.076632            3.81945             5.53737             15488400.0           
325.0251            4.076632            3.81945             5.53737             15488400.0           
330.0084            4.076632            3.81945             5.53737             15488390.0           
335.0261            4.076632            3.81945             5.53737             15488390.0           
340.0094            4.076632            3.81945             5.53737             15488390.0           
345.0271            4.076632            3.81945             5.53737             15488380.0           
350.0105            4.076632            3.81945             5.53737             15488380.0           
355.0282            4.076632            3.81945             5.53737             15488370.0           
360.0115            4.076632            3.81945             5.53737             15488370.0           
365.0292            4.076632            3.81945             5.53737             15488360.0           
370.0126            4.076632            3.81945             5.53737             15488360.0           
375.0303            4.076632            3.81945             5.53737             15488350.0           
380.0136            4.076632            3.81945             5.53737             15488360.0           
385.0313            4.076632            3.81945             5.53737             15488360.0           
390.0146            4.076632            3.81945             5.53737             15488370.0           
395.0323            4.076632            3.81945             5.53737             15488360.0           
400.0157            4.076632            3.81945             5.53737             15488360.0           
405.0334            4.076632            3.81945             5.53737             15488360.0           
410.0167            4.076632            3.81945             5.53737             15488360.0           
415.0001            4.076632            3.81945             5.53737             15488360.0           
420.0178            4.076632            3.81945             5.53737             15488360.0           
425.0011            4.076632            3.81945             5.53737             15488360.0           
430.0188            4.076632            3.81945             5.53737             15488360.0           
435.0021            4.076632            3.81945             5.53737             15488360.0           
440.0199            4.076632            3.81945             5.53737             15488360.0           
445.0032            4.076632            3.81945             5.53737             15488360.0           
450.0209            4.076632            3.81945             5.53737             15488360.0           
455.0042            4.076632            3.81945             5.53737             15488370.0           
460.0219            4.076632            3.81945             5.53737             15488370.0           
465.0053            4.076632            3.81945             5.53737             15488370.0           
470.023             4.076632            3.81945             5.53737             15488370.0           
475.0063            4.076632            3.81945             5.53737             15488370.0           
480.024             4.076632            3.81945             5.53737             15488370.0           
485.0074            4.076632            3.81945             5.53737             15488380.0           
490.0251            4.076632            3.81945             5.53737             15488370.0           
495.0084            4.076632            3.81945             5.53737             15488370.0           
500.0261            4.076632            3.81945             5.53737             15488370.0           
505.0094            4.076632            3.81945             5.53737             15488340.0           
510.0272            4.076632            3.81945             5.53737             15488330.0           
515.0105            4.076632            3.81945             5.53737             15488330.0           
520.0282            4.076632            3.81945             5.53737             15488320.0           
525.0115            4.076632            3.81945             5.53737             15488320.0           
530.0292            4.076632            3.81945             5.53737             15488310.0           
535.0126            4.076632            3.81945             5.53737             15488300.0           
540.0303            4.076632            3.81945             5.53737             15488300.0           
